id,monsoon_name
1131,东亚季风
1132,东亚季风
1133,东亚季风
1134,东亚季风
1135,东亚季风
1180,东亚季风
1181,东亚季风
1182,东亚季风
1183,东亚季风
1222,东亚季风
1223,东亚季风
1224,东亚季风
1247,北美季风
1248,北美季风
1249,北美季风
1250,北美季风
1251,北美季风
1252,北美季风
1287,北美季风
1288,北美季风
1289,北美季风
1290,北美季风
1291,北美季风
1326,北美季风
1327,北美季风
1328,北美季风
1329,北美季风
1363,北美季风
1364,北美季风
1365,北美季风
958,西南季风
959,西南季风
960,西南季风
961,西南季风
962,西南季风
963,西南季风
964,西南季风
965,西南季风
966,西南季风
967,西南季风
1011,西南季风
1012,西南季风
1013,西南季风
1014,西南季风
1015,西南季风
1016,西南季风
1017,西南季风
1018,西南季风
1019,西南季风
1070,西南季风
1071,西南季风
1072,西南季风
1073,西南季风
1074,西南季风
1075,西南季风
1076,西南季风
1077,西南季风
1078,西南季风
1124,西南季风
1125,西南季风
1126,西南季风
1127,西南季风
1128,西南季风
1129,西南季风
628,东北季风
629,东北季风
630,东北季风
631,东北季风
632,东北季风
633,东北季风
634,东北季风
635,东北季风
636,东北季风
637,东北季风
638,东北季风
639,东北季风
640,东北季风
641,东北季风
642,东北季风
643,东北季风
682,东北季风
683,东北季风
684,东北季风
685,东北季风
686,东北季风
687,东北季风
688,东北季风
689,东北季风
690,东北季风
691,东北季风
692,东北季风
693,东北季风
694,东北季风
695,东北季风
696,东北季风
735,东北季风
736,东北季风
737,东北季风
738,东北季风
739,东北季风
740,东北季风
741,东北季风
742,东北季风
743,东北季风
744,东北季风
745,东北季风
746,东北季风
747,东北季风
748,东北季风
789,东北季风
790,东北季风
791,东北季风
792,东北季风
793,东北季风
794,东北季风
795,东北季风
796,东北季风
797,东北季风
798,东北季风
799,东北季风
800,东北季风
801,东北季风
802,东北季风
803,东北季风
845,东北季风
846,东北季风
847,东北季风
848,东北季风
849,东北季风
850,东北季风
851,东北季风
852,东北季风
853,东北季风
854,东北季风
855,东北季风
856,东北季风
857,东北季风
454,澳大利亚季风
455,澳大利亚季风
456,澳大利亚季风
457,澳大利亚季风
458,澳大利亚季风
459,澳大利亚季风
460,澳大利亚季风
461,澳大利亚季风
462,澳大利亚季风
520,澳大利亚季风
521,澳大利亚季风
522,澳大利亚季风
523,澳大利亚季风
524,澳大利亚季风
525,澳大利亚季风
526,澳大利亚季风
527,澳大利亚季风
584,澳大利亚季风
585,澳大利亚季风
586,澳大利亚季风
587,澳大利亚季风
588,澳大利亚季风
