id,name,affect,time
1,南极环极洋流,强烈影响,常年性影响
2,南极环极洋流,强烈影响,常年性影响
3,南极环极洋流,强烈影响,常年性影响
4,南极环极洋流,强烈影响,常年性影响
5,南极环极洋流,强烈影响,常年性影响
6,南极环极洋流,强烈影响,常年性影响
7,南极环极洋流,强烈影响,常年性影响
8,南极环极洋流,强烈影响,常年性影响
9,南极环极洋流,强烈影响,常年性影响
10,南极环极洋流,强烈影响,常年性影响
11,南极环极洋流,强烈影响,常年性影响
12,南极环极洋流,强烈影响,常年性影响
13,南极环极洋流,强烈影响,常年性影响
14,南极环极洋流,强烈影响,常年性影响
15,南极环极洋流,强烈影响,常年性影响
16,南极环极洋流,强烈影响,常年性影响
17,南极环极洋流,强烈影响,常年性影响
18,南极环极洋流,强烈影响,常年性影响
19,南极环极洋流,强烈影响,常年性影响
20,南极环极洋流,强烈影响,常年性影响
21,南极环极洋流,强烈影响,常年性影响
22,南极环极洋流,强烈影响,常年性影响
23,南极环极洋流,强烈影响,常年性影响
24,南极环极洋流,强烈影响,常年性影响
25,南极环极洋流,强烈影响,常年性影响
26,南极环极洋流,强烈影响,常年性影响
27,南极环极洋流,强烈影响,常年性影响
28,南极环极洋流,强烈影响,常年性影响
29,南极环极洋流,强烈影响,常年性影响
30,南极环极洋流,强烈影响,常年性影响
31,南极环极洋流,强烈影响,常年性影响
32,南极环极洋流,强烈影响,常年性影响
33,南极环极洋流,强烈影响,常年性影响
34,南极环极洋流,强烈影响,常年性影响
35,南极环极洋流,强烈影响,常年性影响
36,南极环极洋流,强烈影响,常年性影响
37,南极环极洋流,强烈影响,常年性影响
38,南极环极洋流,强烈影响,常年性影响
39,南极环极洋流,强烈影响,常年性影响
40,南极环极洋流,强烈影响,常年性影响
41,南极环极洋流,强烈影响,常年性影响
42,南极环极洋流,强烈影响,常年性影响
43,南极环极洋流,强烈影响,常年性影响
44,南极环极洋流,强烈影响,常年性影响
45,南极环极洋流,强烈影响,常年性影响
46,南极环极洋流,强烈影响,常年性影响
